Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3748224580.974,50.1167373657227,9400.02734375,-0.139606243220604,3.32615203107803E-5
3748224592.0285,50.1175861358643,9450.3037109375,-0.139541356492727,3.22774056062757E-5
3748224602.8715,50.1177597045898,9500.23974609375,-0.13950095012638,3.22379671958151E-5
3748224613.9775,50.1176891326904,9550.2861328125,-0.139312864577658,5.66934394450902E-5
3748224624.8375,50.1168441772461,9600.03271484375,-0.138581905595574,3.04669393383166E-5
3748224636.8165,50.1161346435547,9650.125,-0.138010940818167,3.04727898760555E-5
3748224647.9,50.1165390014648,9700.27490234375,-0.138777088581446,5.78796702297312E-5
3748224658.8415,50.1164989471436,9750.08349609375,-0.138393818032295,3.35472428324233E-5
3748224669.885,50.1165390014648,9800.0283203125,-0.138177838811132,2.67882563308398E-5
3748224680.819,50.1170711517334,9850.22412109375,-0.137752366605348,4.52388608711653E-5
3748224691.806,50.1151142120361,9899.994140625,-0.138206486493818,2.7871141833148E-5
3748224703.7915,50.1167507171631,9950.11181640625,-0.137134522393664,2.58711662641534E-5
3748224714.752,50.1173896789551,10000.0126953125,-0.137116531258087,2.8965412486397E-5
3748224725.836,50.1154117584229,10050.3193359375,-0.137183014816869,3.64051179478705E-5
3748224736.8055,50.1164264678955,10100.0107421875,-0.136523842301343,2.6383234237631E-5
3748224747.7795,50.1163501739502,10150.3515625,-0.13694320664333,5.24829205608804E-5
3748224759.7855,50.1156024932861,10200.0961914062,-0.135985469423876,3.61102555702957E-5
3748224770.73,50.1153163909912,10250.0712890625,-0.135798303933774,2.68229381769437E-5
3748224782.7425,50.1151504516602,10300.0249023438,-0.135686326363715,3.55269850206126E-5
3748224793.794,50.1158885955811,10350.296875,-0.135930149461188,4.49856984602116E-5
3748224804.6945,50.1156692504883,10400.1245117187,-0.135391807165637,2.84885055240899E-5
3748224815.663,50.1159133911133,10450.2485351562,-0.135566620428859,4.37184894093573E-5
3748224827.6595,50.1160163879395,10500.1733398438,-0.134897599072028,2.81007548954474E-5
3748224838.7425,50.1152629852295,10550.05078125,-0.135319713977543,3.15199105644373E-5
